,AREA,PERIMETER,PARKS_,PARKS_ID,NAME,TYPE,DPWDIV,ZONE,HOOD_NO,HOOD,ACRES,SQMILES,ADDRESS,CODE,ALT_NAME,PW,TITLE,ID,Shape_Leng,ClassCode,Shape_Le_1,Shape_Area,X,Y
0,120337,1791.43,1,1,Marmaduke,Playground,1,Northern,13,Brighton Heights,2.762567047,0.004316511,NA,play,NA,n,Marmaduke Playground,7,1791.427945,0,1791.427945,120337.4206,-80.04296573,40.48464888
1,90803.1,1535.5,2,2,Fifty-Seventh St,Playground,2,NA,86,Upper Lawrenceville,2.084552774,0.003257114,NA,play,NA,n,Fifty-Seventh St Playground,8,1535.496174,0,1535.496174,90803.11884,-79.94645706,40.48600025
2,715332,4324.05,3,3,Dinan,Playground,2,Central,79,Stanton Heights,16.42176269,0.025659004,NA,play,NA,n,Dinan Playground,11,4324.050855,1,4324.050855,715331.9828,-79.93266749,40.48324842
3,235806,2027.25,4,4,Joe Natoli,Playground,2,Central,52,Morningside,5.41335373,0.008458365,NA,play,NA,n,Joe Natoli Playground,12,2027.253454,0,2027.253454,235805.6885,-79.92577658,40.48382384
4,30387.9,786.646,5,5,Legion Memorial,Park,1,Northern,13,Brighton Heights,0.697609212,0.001090014,NA,park,NA,n,Legion Memorial Park,14,786.6457898,0,786.6457898,30387.85726,-80.0347123,40.48188282
5,7043.37,391.803,6,6,Fifty-Second St,Parklet,2,Central,86,Upper Lawrenceville,0.161693415,0.000252646,NA,park,NA,n,Fifty-Second St Parklet,18,391.8032812,0,391.8032812,7043.365149,-79.9536862,40.4810034
6,8704.54,376.617,7,7,McCandless,Tot Lot,2,Central,86,Upper Lawrenceville,0.199828782,0.000312232,NA,play,NA,n,McCandless Tot Lot,19,376.6168322,0,376.6168322,8704.541748,-79.95259923,40.48078051
7,35084.7,765.095,8,8,Duncan,Parklet,2,Central,86,Upper Lawrenceville,0.805434467,0.001258491,NA,park,NA,n,Duncan Parklet,20,765.0952221,0,765.0952221,35084.7254,-79.94836599,40.48027054
8,82077.8,1135.22,9,10,Flynn,Parklet,2,Northeast,40,Highland Park,1.884245818,0.002944134,NA,park,NA,n,Flynn Parklet,22,1135.2167,0,1135.2167,82077.74782,-79.91851048,40.47884248
9,12006.5,450.352,10,11,Woods Run,Tot Lot,1,Northern,50,Marshall-Shadeland,0.275631744,0.000430675,NA,play,NA,n,Woods Run Tot Lot,23,450.3520093,0,450.3520093,12006.51877,-80.02925326,40.47638344
10,222507,2181.06,11,12,Heths,Playground,2,Central,52,Morningside,5.10805001,0.007981328,NA,play,NA,n,Heths Playground,24,2181.061308,0,2181.061308,222506.6584,-79.92766686,40.47767489
11,133951,1666.07,12,13,Young,Field,1,Northern,50,Marshall-Shadeland,3.075089078,0.004804827,NA,gspc,NA,n,Young Field,25,1666.071794,0,1666.071794,133950.8802,-80.03276848,40.47296315
12,262576,2066,13,14,Leslie,Park,2,Central,18,Central Lawrenceville,6.027919656,0.009418624,NA,park,NA,n,Leslie Park,27,2066.0046,0,2066.0046,262576.1802,-79.95755045,40.47289785
13,552687,4338.45,14,15,Fowler,Playground,1,Northern,62,Perry South,12.68794785,0.019824919,NA,play,NA,n,Fowler Playground,29,4338.448537,1,4338.448537,552687.0083,-80.01148351,40.46970849
14,100916,1282.28,15,16,Horace Mann,Field,1,Northern,50,Marshall-Shadeland,2.316701579,0.003619846,NA,gspc,NA,n,Horace Mann Field,30,1282.282668,0,1282.282668,100915.5208,-80.03104627,40.46974802
15,52763.8,1423.44,16,17,Lookout St,Parklet,1,Northern,84,Troy Hill,1.211289368,0.00189264,NA,park,NA,n,Lookout St Parklet,31,1423.43717,0,1423.43717,52763.76489,-79.97656242,40.46956296
16,412891,3309.67,17,18,Fort Pitt,Playground,2,Central,35,Garfield,9.478665531,0.014810415,NA,play,NA,n,Fort Pitt Playground,32,3309.674188,0,3309.674188,412890.6705,-79.94286062,40.46948025
17,181409,2017.61,18,19,Paulson,Playground,2,Northeast,47,Lincoln-Lemington-Belmar,4.164571631,0.006507143,NA,play,NA,n,Paulson Playground,33,2017.612564,0,2017.612564,181408.7403,-79.9001091,40.46852417
18,383701,2498.19,19,20,Arsenal,Park and School,2,Central,48,Lower Lawrenceville,8.808560532,0.013763376,NA,park,NA,n,Arsenal Park and School,34,2498.194088,1,2498.194088,383700.8968,-79.96122939,40.46669649
19,40206.1,858.458,21,22,Kite Hill,Parklet,2,Central,35,Garfield,0.923003994,0.001442194,NA,park,NA,n,Kite Hill Parklet,37,858.4577187,0,858.4577187,40206.05396,-79.93261822,40.46700606
